영화제목,유통회사명,개봉일,총스크린수,관람인원수,장르,등급,네이버_평점,구글_평점,씨네21_평점,개봉년도,개봉월
"식물카페, 온정",매치컷(주),2021-06-01,19.0,475.0,기타,전체관람가,7.07,,5.0,2021,6
숏버스 감성행,"언더식스티,(주)퍼니콘",2021-08-01,14.0,464.0,멜로/로맨스,12세이상관람가,8.0,,,2021,8
더 레치드: 악령의 저주,(주)드림팩트엔터테인먼트,2021-07-01,19.0,433.0,판타지,15세이상관람가,,3.5,4.5,2021,7
파이프라인,"메가박스중앙(주)플러스엠,(주)리틀빅픽쳐스",2021-05-01,777.0,424.0,범죄,15세이상관람가,,,,2021,5
플래시백,판씨네마(주),2021-06-01,145.0,386.0,드라마,15세이상관람가,0.0,,4.33,2021,6
캐논볼,(주)이놀미디어,2021-08-01,12.0,349.0,드라마,12세이상관람가,8.09,4.5,5.33,2021,8
뮤턴트 워,주식회사 풍경소리,2021-07-01,5.0,340.0,SF,15세이상관람가,4.75,,,2021,7
아메리칸 히트맨,(주)씨네마블랙,2021-07-01,5.0,340.0,액션,청소년관람불가,4.8,,,2021,7
트리거 포인트,(주)타임앤드스페이스,2021-07-01,5.0,340.0,액션,15세이상관람가,6.23,3.6,,2021,7
뱅퀴시,(주)까멜리아이엔티,2021-06-01,48.0,330.0,액션,15세이상관람가,4.31,1.8,5.0,2021,6
인트로덕션,"(주)영화제작전원사 ,(주)콘텐츠판다",2021-05-01,91.0,325.0,기타,12세이상관람가,8.09,,8.0,2021,5
부활: 그 증거,(주)영화사 진진,2020-10-01,111.0,315.0,다큐멘터리,전체관람가,9.82,,4.0,2020,10
까치발,(주)시네마달,2021-06-01,27.0,314.0,다큐멘터리,12세이상관람가,8.24,,6.25,2021,6
사보타지 1941,(주)박수엔터테인먼트,2021-08-01,5.0,300.0,드라마,15세이상관람가,6.67,,,2021,8
카발레리아 루스티카나,일미디어,2021-07-01,9.0,274.0,공연,12세이상관람가,0.0,,,2021,7
올리버 색스: 그의 생애,하준사,2021-08-01,9.0,273.0,다큐멘터리,12세이상관람가,7.5,,7.0,2021,8
페이블,"(주)콘텐츠판다,쇼치쿠",2021-07-01,5.0,269.0,코미디,15세이상관람가,6.63,,,2021,7
포이즌 로즈,예지림엔터테인먼트,2021-07-01,14.0,247.0,스릴러,15세이상관람가,5.0,,4.33,2021,7
저승보다 낯선,(주)스튜디오 보난자,2021-06-01,9.0,233.0,드라마,15세이상관람가,7.4,,5.0,2021,6
가족은 괴로워3: 아내여 장미처럼,(주)미디어캐슬,2021-08-01,4.0,207.0,드라마,전체관람가,10.0,,,2021,8
프로페서 앤 매드맨,그린나래미디어(주),2021-06-01,320.0,192.0,드라마,15세이상관람가,7.65,4.7,5.33,2021,6
신해석 삼국지,"(주)리틀빅픽쳐스,(주)레드로버",2021-06-01,17.0,178.0,코미디,12세이상관람가,6.22,,4.5,2021,6
숲의 비명 : 사라진 사람들,(주)트리필름,2021-08-01,6.0,171.0,공포(호러),15세이상관람가,3.65,,,2021,8
"그 여름, 가장 차가웠던","(주)싸이더스,찬란",2021-06-01,102.0,164.0,드라마,15세이상관람가,6.86,,6.0,2021,6
슈퍼딥,주식회사 루믹스미디어,2021-08-01,5.0,152.0,공포(호러),15세이상관람가,,3.3,,2021,8
강호아녀,(주)에스와이코마드,2021-06-01,45.0,144.0,드라마,15세이상관람가,7.7,,7.75,2021,6
배틀 크랙,(주)이놀미디어,2021-07-01,5.0,140.0,SF,15세이상관람가,3.24,1.3,2.0,2021,7
에이리,(주)미디어캐슬,2021-07-01,4.0,130.0,미스터리,15세이상관람가,8.67,,6.0,2021,7
켈리 갱,오드,2021-08-01,9.0,127.0,범죄,15세이상관람가,6.61,2.5,7.0,2021,8
허리 고 라운드,(주)미디어캐슬,2021-07-01,4.0,122.0,다큐멘터리,15세이상관람가,8.0,,,2021,7
사제로부터 온 편지,(주)드림팩트엔터테인먼트,2021-08-01,4.0,118.0,다큐멘터리,전체관람가,8.36,,5.0,2021,8
내겐 너무 소중한 너,(주)파인스토리,2021-05-01,449.0,116.0,드라마,12세이상관람가,,4.9,5.0,2021,5
더 데빌,CGV ICECON,2021-06-01,19.0,104.0,뮤지컬,15세이상관람가,2.95,,6.0,2021,6
대테러부대: 팀 울프,(주)액티버스엔터테인먼트,2021-08-01,5.0,100.0,전쟁,15세이상관람가,5.0,,,2021,8
복호무송,(주)액티버스엔터테인먼트,2021-07-01,5.0,100.0,액션,12세이상관람가,7.8,,,2021,7
아웃브레이크,비케이 시네윈,2021-07-01,5.0,100.0,스릴러,15세이상관람가,8.0,4.2,5.42,2021,7
일루셔니스트,비케이 시네윈,2021-08-01,5.0,100.0,액션,12세이상관람가,9.0,4.6,5.33,2021,8
보통날,주식회사 씨엠닉스,2021-07-01,1.0,98.0,드라마,15세이상관람가,8.0,,,2021,7
굴뚝마을의 푸펠,"(주)리틀빅픽쳐스,(주)레드로버",2021-05-01,250.0,85.0,애니메이션,전체관람가,8.47,,6.33,2021,5
너는 저편에,"(주)영진크리에이티브,(주)다날엔터테인먼트",2021-07-01,5.0,80.0,애니메이션,전체관람가,2.55,3.8,,2021,7
애플,(주)다자인소프트,2021-05-01,85.0,68.0,드라마,12세이상관람가,,,6.67,2021,5
상애상친 : 여자 이야기,(주)라온컴퍼니플러스,2021-07-01,1.0,60.0,드라마,12세이상관람가,0.0,,,2021,7
소울,월트디즈니컴퍼니코리아 유한책임회사,2021-01-01,,58.0,애니메이션,전체관람가,9.32,4.7,8.5,2021,1
영면,주식회사 씨엠닉스,2021-07-01,1.0,57.0,드라마,12세이상관람가,8.0,,,2021,7
데이팅 앰버,주식회사 왓챠,2021-06-01,33.0,55.0,코미디,15세이상관람가,9.13,4.7,,2021,6
아이들은 즐겁다,"메가박스중앙(주)플러스엠,(주)영화사울림",2021-05-01,445.0,50.0,드라마,전체관람가,9.11,,6.5,2021,5
혼자 사는 사람들,주식회사 더쿱,2021-05-01,159.0,49.0,드라마,12세이상관람가,8.61,,6.5,2021,5
마네킹,스마일픽쳐스,2021-07-01,1.0,46.0,공포(호러),15세이상관람가,,,7.8,2021,7
치와와,(주)미디어캐슬,2021-07-01,2.0,45.0,범죄,청소년관람불가,0.0,,7.0,2021,7
음악,(주)미디어캐슬,2021-07-01,4.0,40.0,애니메이션,12세이상관람가,,,,2021,7
도라에몽: 스탠바이미 2,(주)스마일이엔티,2021-05-01,631.0,36.0,애니메이션,전체관람가,8.82,4.9,6.0,2021,5
더 배니싱,주식회사 디에스이이디,2021-06-01,5.0,32.0,공포(호러),15세이상관람가,3.57,,,2021,6
폭력의 그림자,(주)디오시네마,2021-06-01,33.0,27.0,범죄,청소년관람불가,6.17,3.9,6.0,2021,6
쿠사마 야요이: 무한의 세계,오드,2021-05-01,38.0,25.0,다큐멘터리,전체관람가,9.14,,6.0,2021,5
파리의 별빛 아래,판씨네마(주),2021-05-01,34.0,23.0,드라마,전체관람가,9.12,4.2,6.0,2021,5
더 드라이버,(주)엘케이픽쳐스,2021-08-01,1.0,20.0,공포(호러),15세이상관람가,3.0,,,2021,8
드래곤 솔져,주식회사 풍경소리,2021-08-01,1.0,20.0,판타지,15세이상관람가,0.0,,,2021,8
리벤지 오브 인사이트,(주)싸이더스,2021-08-01,1.0,20.0,액션,15세이상관람가,8.25,,,2021,8
비커밍 아스트리드,알토미디어(주),2021-05-01,70.0,20.0,드라마,15세이상관람가,8.0,,6.0,2021,5
어댑테이션,주식회사 플릭스코,2021-08-01,1.0,20.0,기타,15세이상관람가,8.09,4.1,7.5,2021,8
사랑인가 바,유한회사 영화사 반딧불,2021-08-01,5.0,18.0,멜로/로맨스,12세이상관람가,0.0,,,2021,8
도신-천하지독존,(유)조이앤시네마,2021-08-01,8.0,16.0,액션,15세이상관람가,0.0,,,2021,8
몽키킹5 절대신공,(유)조이앤시네마,2021-07-01,8.0,16.0,판타지,12세이상관람가,3.14,,,2021,7
"무순, 세상을 가로질러",영화배급협동조합 씨네소파,2021-04-01,17.0,14.0,다큐멘터리,전체관람가,8.4,,5.67,2021,4
#위왓치유,찬란,2021-06-01,38.0,14.0,다큐멘터리,청소년관람불가,8.43,,6.0,2021,6
스쿨 오브 락(樂),(주)드림팩트엔터테인먼트,2021-05-01,7.0,8.0,다큐멘터리,전체관람가,8.63,,,2021,5
포겟 미 낫-엄마에게 쓰는 편지,커넥트픽쳐스(주),2021-06-01,33.0,6.0,다큐멘터리,12세이상관람가,8.33,,7.0,2021,6
개그 더 크라운,컴퍼니 엘론(주),2021-07-01,1.0,1.0,코미디,15세이상관람가,6.33,,,2021,7
리본,컴퍼니 엘론(주),2021-07-01,1.0,1.0,공포(호러),15세이상관람가,1.0,,5.75,2021,7
저주받은 자들,컴퍼니 엘론(주),2021-07-01,1.0,1.0,공포(호러),15세이상관람가,1.5,,7.0,2021,7
모가디슈,롯데컬처웍스(주)롯데엔터테인먼트,2021-07-01,,,액션,15세이상관람가,8.66,4.6,7.5,2021,7
싱크홀,(주)쇼박스,2021-08-01,,,코미디,12세이상관람가,6.87,4.7,5.0,2021,8
인질,(주)넥스트엔터테인먼트월드(NEW),2021-08-01,,,액션,15세이상관람가,7.02,,5.8,2021,8
더 수어사이드 스쿼드,워너브러더스 코리아(주),2021-08-01,,,액션,청소년관람불가,7.94,3.6,7.17,2021,8
보스 베이비 2,유니버설픽쳐스인터내셔널 코리아(유),2021-07-01,,,애니메이션,전체관람가,8.96,4.4,5.5,2021,7
프리 가이,월트디즈니컴퍼니코리아 유한책임회사,2021-08-01,750.0,,액션,12세이상관람가,8.47,4.6,6.75,2021,8
블랙 위도우,월트디즈니컴퍼니코리아 유한책임회사,2021-07-01,,,액션,12세이상관람가,9.0,4.1,6.5,2021,7
정글 크루즈,월트디즈니컴퍼니코리아 유한책임회사,2021-07-01,831.0,,액션,12세이상관람가,7.52,4.1,5.33,2021,7
올드,유니버설픽쳐스인터내셔널 코리아(유),2021-08-01,550.0,,공포(호러),12세이상관람가,6.81,2.6,5.0,2021,8
귀문,"씨제이 씨지브이(CJ CGV)(주),(주)씨네필운",2021-08-01,692.0,,미스터리,15세이상관람가,6.15,,4.67,2021,8
방법: 재차의,(주)씨제이이엔엠,2021-07-01,838.0,,미스터리,15세이상관람가,7.37,4.4,6.0,2021,7
극장판 도라에몽: 진구의 신공룡,(주)리틀빅픽쳐스,2021-08-01,502.0,,애니메이션,전체관람가,8.79,4.8,6.0,2021,8
퍼피 구조대 더 무비,롯데컬처웍스(주)롯데엔터테인먼트,2021-08-01,355.0,,애니메이션,전체관람가,9.46,4.5,5.0,2021,8
레미니센스,워너브러더스 코리아(주),2021-08-01,548.0,,SF,12세이상관람가,6.71,3.3,5.0,2021,8
여름날 우리,"찬란,메가박스중앙(주)",2021-08-01,262.0,,코미디,12세이상관람가,7.96,4.6,6.0,2021,8
그린 나이트,(주)팝엔터테인먼트,2021-08-01,235.0,,어드벤처,15세이상관람가,7.04,2.6,8.5,2021,8
랑종,(주)쇼박스,2021-07-01,,,공포(호러),청소년관람불가,6.59,3.4,6.88,2021,7
블랙핑크 더 무비,씨제이포디플렉스 주식회사,2021-08-01,147.0,,공연,전체관람가,8.88,,,2021,8
이스케이프 룸 2: 노 웨이 아웃,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-07-01,728.0,,액션,15세이상관람가,8.11,3.9,6.0,2021,7
크루엘라,월트디즈니컴퍼니코리아 유한책임회사,2021-05-01,,,드라마,12세이상관람가,9.21,4.7,6.4,2021,5
남색대문,오드,2021-08-01,79.0,,드라마,12세이상관람가,8.54,,5.67,2021,8
은혼 더 파이널,워터홀컴퍼니(주),2021-07-01,170.0,,애니메이션,15세이상관람가,9.18,4.9,5.0,2021,7
팜 스프링스,(주)디스테이션,2021-08-01,83.0,,코미디,15세이상관람가,7.41,4.5,6.0,2021,8
코다,판씨네마(주),2021-08-01,308.0,,드라마,12세이상관람가,,4.8,6.33,2021,8
이번엔 잘 되겠지,THE 픽쳐스,2021-07-01,48.0,,코미디,15세이상관람가,8.67,,,2021,7
꽃다발 같은 사랑을 했다,"(주)리틀빅픽쳐스,(주)레드로버",2021-07-01,198.0,,멜로/로맨스,12세이상관람가,8.47,4.9,6.5,2021,7
피닉스,M&M 인터내셔널,2021-07-01,54.0,,드라마,12세이상관람가,7.17,4.5,6.0,2021,7
다이노 마이 프렌드,(주)박수엔터테인먼트,2021-08-01,185.0,,애니메이션,전체관람가,5.07,,5.0,2021,8
킬러의 보디가드 2,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2021-06-01,975.0,,액션,청소년관람불가,7.3,3.9,5.5,2021,6
"우리, 둘","그린나래미디어(주),(주)버킷스튜디오",2021-07-01,54.0,,드라마,12세이상관람가,8.0,4.6,6.67,2021,7
잘리카투,주식회사 슈아픽처스,2021-08-01,45.0,,액션,15세이상관람가,7.27,4.0,6.67,2021,8
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람,(주)애니플러스,2021-08-01,44.0,,애니메이션,15세이상관람가,8.0,,,2021,8
암살자들,"주식회사 왓챠,주식회사 더쿱",2021-08-01,39.0,,다큐멘터리,15세이상관람가,8.67,,5.67,2021,8
킬러의 보디가드 2: 킬러의 와이프,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2021-08-01,30.0,,액션,15세이상관람가,7.3,3.9,,2021,8
더 그레이트 샤크,(주)제이앤씨미디어그룹,2021-08-01,106.0,,공포(호러),12세이상관람가,4.03,2.3,3.0,2021,8
갈매기,(주)영화사 진진,2021-07-01,42.0,,드라마,15세이상관람가,,,6.5,2021,7
귀신,(주)스튜디오 보난자,2021-08-01,31.0,,공포(호러),청소년관람불가,8.01,,4.0,2021,8
박강아름 결혼하다,(주)영화사 진진,2021-08-01,32.0,,다큐멘터리,전체관람가,8.9,,5.8,2021,8
코드 카림,(주)월드시네마,2021-08-01,21.0,,액션,15세이상관람가,4.73,,4.33,2021,8
학교 가는 길,(주)영화사 진진,2021-05-01,90.0,,다큐멘터리,12세이상관람가,9.88,,7.67,2021,5
상견니,오드,2021-08-01,99.0,,드라마,12세이상관람가,7.58,,5.25,2021,8
생각의 여름,㈜인디스토리,2021-08-01,41.0,,드라마,12세이상관람가,,,6.0,2021,8
오필리아,(주)홈초이스,2021-07-01,117.0,,멜로/로맨스,15세이상관람가,7.53,4.4,5.33,2021,7
콰이어트 플레이스 2,롯데컬처웍스(주)롯데엔터테인먼트,2021-06-01,,,스릴러,15세이상관람가,8.66,4.3,6.5,2021,6
자마,M&M 인터내셔널,2021-08-01,34.0,,드라마,15세이상관람가,7.58,,8.25,2021,8
와인 패밀리,해피송,2021-07-01,35.0,,드라마,12세이상관람가,7.14,4.3,4.67,2021,7
나는 나대로 혼자서 간다,(주)영화사 진진,2021-07-01,23.0,,드라마,12세이상관람가,8.19,,5.5,2021,7
분노의 질주: 더 얼티메이트,유니버설픽쳐스인터내셔널 코리아(유),2021-05-01,,,액션,12세이상관람가,8.75,3.1,5.75,2021,5
어웨이,(주)씨네필운,2021-08-01,19.0,,애니메이션,전체관람가,,,6.33,2021,8
발신제한,(주)씨제이이엔엠,2021-06-01,,,스릴러,15세이상관람가,7.57,4.5,5.67,2021,6
웬디,"(주)영화사 진진,하이, 스트레인저",2021-06-01,79.0,,드라마,12세이상관람가,5.3,2.8,5.5,2021,6
언더그라운드,(주)시네마달,2021-08-01,19.0,,다큐멘터리,12세이상관람가,5.22,4.2,9.22,2021,8
프랑켄슈타인,CGV ICECON,2021-08-01,12.0,,공연,15세이상관람가,6.33,3.9,6.17,2021,8
더 퍼지: 포에버,유니버설픽쳐스인터내셔널 코리아(유),2021-07-01,52.0,,스릴러,청소년관람불가,6.24,3.2,7.0,2021,7
숏버스 이별행,"언더식스티,(주)퍼니콘",2021-07-01,53.0,951.0,코미디,15세이상관람가,7.88,,6.0,2021,7
극장판 귀멸의 칼날: 무한열차편,워터홀컴퍼니(주),2021-01-01,380.0,931.0,애니메이션,15세이상관람가,,4.9,6.0,2021,1
루카,월트디즈니컴퍼니코리아 유한책임회사,2021-06-01,856.0,917.0,애니메이션,전체관람가,9.16,4.6,7.0,2021,6
아담,시네마 뉴원,2021-08-01,29.0,900.0,드라마,12세이상관람가,,,8.0,2021,8
워스,(주)홈초이스,2021-07-01,65.0,719.0,드라마,12세이상관람가,8.25,4.4,6.5,2021,7
다크 앤드 위키드,와이드 릴리즈(주),2021-06-01,164.0,675.0,공포(호러),15세이상관람가,7.0,3.6,7.0,2021,6
노매드랜드,월트디즈니컴퍼니코리아 유한책임회사,2021-04-01,181.0,531.0,드라마,12세이상관람가,8.53,3.9,8.0,2021,4
아이스 로드,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",2021-07-01,344.0,486.0,스릴러,12세이상관람가,8.0,3.0,5.33,2021,7
숏버스 감성행,"언더식스티,(주)퍼니콘",2021-08-01,14.0,464.0,멜로/로맨스,12세이상관람가,8.0,,,2021,8
액션히어로,(주)트리플픽쳐스,2021-07-01,110.0,446.0,액션,12세이상관람가,7.65,,6.5,2021,7
우리는 매일매일,㈜인디스토리,2021-06-01,30.0,424.0,다큐멘터리,12세이상관람가,9.75,,6.5,2021,6
트립 투 그리스,"찬란,하이, 스트레인저",2021-07-01,48.0,351.0,코미디,15세이상관람가,7.0,3.1,6.0,2021,7
캐논볼,(주)이놀미디어,2021-08-01,12.0,349.0,드라마,12세이상관람가,8.09,4.5,5.33,2021,8
사보타지 1941,(주)박수엔터테인먼트,2021-08-01,5.0,300.0,드라마,15세이상관람가,6.67,,,2021,8
뱅퀴시,(주)까멜리아이엔티,2021-06-01,48.0,280.0,액션,15세이상관람가,4.31,1.8,5.0,2021,6
올리버 색스: 그의 생애,하준사,2021-08-01,9.0,273.0,다큐멘터리,12세이상관람가,7.5,,7.0,2021,8
크레센도,(주)티캐스트,2021-06-01,57.0,253.0,드라마,12세이상관람가,8.7,,5.0,2021,6
빛나는 순간,"(주)명필름,(주)씨네필운",2021-06-01,267.0,251.0,드라마,12세이상관람가,8.48,,6.75,2021,6
호스트: 접속금지,(주)넥스트엔터테인먼트월드(NEW),2021-07-01,148.0,222.0,공포(호러),15세이상관람가,,3.9,5.67,2021,7
가족은 괴로워3: 아내여 장미처럼,(주)미디어캐슬,2021-08-01,4.0,207.0,드라마,전체관람가,10.0,,,2021,8
아메리칸 히트맨,(주)씨네마블랙,2021-07-01,5.0,205.0,액션,청소년관람불가,4.8,,,2021,7
바디 브로커,(주)스마일이엔티,2021-07-01,52.0,200.0,범죄,15세이상관람가,7.2,4.4,,2021,7
트리거 포인트,(주)타임앤드스페이스,2021-07-01,5.0,200.0,액션,15세이상관람가,6.23,3.6,,2021,7
숲의 비명 : 사라진 사람들,(주)트리필름,2021-08-01,6.0,171.0,공포(호러),15세이상관람가,3.65,,,2021,8
슈퍼딥,주식회사 루믹스미디어,2021-08-01,5.0,152.0,공포(호러),15세이상관람가,,3.3,,2021,8
청춘선거,아이 엠,2021-06-01,27.0,152.0,다큐멘터리,12세이상관람가,7.19,,5.67,2021,6
자메이카의 소울: 이나 데 야드,(주)엣나인필름,2021-07-01,12.0,149.0,다큐멘터리,12세이상관람가,10.0,,6.33,2021,7
CCTV,마루아트센터(주),2021-07-01,1.0,143.0,공포(호러),15세이상관람가,10.0,,4.0,2021,7
포이즌 로즈,예지림엔터테인먼트,2021-07-01,14.0,132.0,스릴러,15세이상관람가,5.0,,4.33,2021,7
켈리 갱,오드,2021-08-01,9.0,127.0,범죄,15세이상관람가,6.61,2.5,7.0,2021,8
사제로부터 온 편지,(주)드림팩트엔터테인먼트,2021-08-01,4.0,118.0,다큐멘터리,전체관람가,8.36,,5.0,2021,8
화이트 온 화이트,"대성필름,시네마 뉴원",2021-06-01,34.0,115.0,드라마,12세이상관람가,,,7.0,2021,6
온 더 로드,CGV ICECON,2021-07-01,18.0,111.0,다큐멘터리,전체관람가,7.84,3.7,5.67,2021,7
대테러부대: 팀 울프,(주)액티버스엔터테인먼트,2021-08-01,5.0,100.0,전쟁,15세이상관람가,5.0,,,2021,8
샤먼 로드,강 컨텐츠,2021-07-01,5.0,100.0,다큐멘터리,12세이상관람가,8.86,,,2021,7
일루셔니스트,비케이 시네윈,2021-08-01,5.0,100.0,액션,12세이상관람가,9.0,4.6,5.33,2021,8
흩어진 밤,영화배급협동조합 씨네소파,2021-06-01,49.0,94.0,드라마,전체관람가,7.38,,6.33,2021,6
옥스포드 살인사건,(주)팝엔터테인먼트,2021-07-01,91.0,89.0,범죄,15세이상관람가,5.81,,5.33,2021,7
북샵,(주)콘텐츠판다,2021-06-01,9.0,88.0,드라마,전체관람가,8.91,4.3,7.0,2021,6
"식물카페, 온정",매치컷(주),2021-06-01,19.0,74.0,기타,전체관람가,7.07,,5.0,2021,6
메이드 인 루프탑,(주)엣나인필름,2021-06-01,77.0,55.0,드라마,15세이상관람가,8.45,,6.0,2021,6
인트로덕션,"(주)영화제작전원사 ,(주)콘텐츠판다",2021-05-01,91.0,53.0,기타,12세이상관람가,8.09,,8.0,2021,5
컨저링3: 악마가 시켰다,워너브러더스 코리아(주),2021-06-01,,52.0,공포(호러),15세이상관람가,8.1,4.1,5.75,2021,6
스페이스 잼: 새로운 시대,워너브러더스 코리아(주),2021-07-01,521.0,51.0,애니메이션,전체관람가,7.0,3.1,4.5,2021,7
배틀 크랙,(주)이놀미디어,2021-07-01,5.0,40.0,SF,15세이상관람가,3.24,1.3,2.0,2021,7
피어 오브 레인,(주)누리픽쳐스,2021-07-01,47.0,40.0,드라마,15세이상관람가,6.33,4.2,5.0,2021,7
극장판 콩순이: 장난감나라 대모험,(주)넥스트엔터테인먼트월드(NEW),2021-05-01,690.0,36.0,애니메이션,전체관람가,9.11,,6.0,2021,5
좀비크러쉬: 헤이리,필름다빈,2021-06-01,23.0,35.0,코미디,15세이상관람가,4.69,,4.67,2021,6
페이블,"(주)콘텐츠판다,쇼치쿠",2021-07-01,5.0,31.0,코미디,15세이상관람가,6.63,,,2021,7
열아홉,(주)리틀빅픽쳐스,2021-06-01,26.0,28.0,드라마,15세이상관람가,8.0,,5.0,2021,6
더 드라이버,(주)엘케이픽쳐스,2021-08-01,1.0,20.0,공포(호러),15세이상관람가,3.0,,,2021,8
드래곤 솔져,주식회사 풍경소리,2021-08-01,1.0,20.0,판타지,15세이상관람가,0.0,,,2021,8
리벤지 오브 인사이트,(주)싸이더스,2021-08-01,1.0,20.0,액션,15세이상관람가,8.25,,,2021,8
어댑테이션,주식회사 플릭스코,2021-08-01,1.0,20.0,기타,15세이상관람가,8.09,4.1,7.5,2021,8
사랑인가 바,유한회사 영화사 반딧불,2021-08-01,5.0,18.0,멜로/로맨스,12세이상관람가,0.0,,,2021,8
아이들은 즐겁다,"메가박스중앙(주)플러스엠,(주)영화사울림",2021-05-01,445.0,18.0,드라마,전체관람가,9.11,,6.5,2021,5
나만 보이니,(주)디스테이션,2021-07-01,84.0,17.0,공포(호러),15세이상관람가,5.09,,3.0,2021,7
미나리,판씨네마(주),2021-03-01,,17.0,드라마,12세이상관람가,8.32,4.3,7.57,2021,3
도신-천하지독존,(유)조이앤시네마,2021-08-01,8.0,16.0,액션,15세이상관람가,0.0,,,2021,8
뱅드림! 로젤리아 에피소드Ⅰ: 약속,(주)애니플러스,2021-06-01,141.0,12.0,애니메이션,전체관람가,9.14,,6.0,2021,6
도라에몽: 스탠바이미 2,(주)스마일이엔티,2021-05-01,631.0,11.0,애니메이션,전체관람가,8.82,4.9,6.0,2021,5
더 레치드: 악령의 저주,(주)드림팩트엔터테인먼트,2021-07-01,19.0,9.0,판타지,15세이상관람가,,3.5,4.5,2021,7
부활: 그 증거,(주)영화사 진진,2020-10-01,111.0,9.0,다큐멘터리,전체관람가,9.82,,4.0,2020,10
그레타 툰베리,(주)영화사 진진,2021-06-01,30.0,6.0,다큐멘터리,전체관람가,5.05,2.9,6.0,2021,6
까치발,(주)시네마달,2021-06-01,27.0,5.0,다큐멘터리,12세이상관람가,8.24,,6.25,2021,6
"그 여름, 가장 차가웠던","(주)싸이더스,찬란",2021-06-01,102.0,4.0,드라마,15세이상관람가,6.86,,6.0,2021,6
낫아웃,"(주)케이티알파,판씨네마(주)",2021-06-01,203.0,3.0,드라마,15세이상관람가,7.74,,6.67,2021,6
더 파더,판씨네마(주),2021-04-01,348.0,1.0,드라마,12세이상관람가,8.9,4.7,7.14,2021,4
저승보다 낯선,(주)스튜디오 보난자,2021-06-01,9.0,1.0,드라마,15세이상관람가,7.4,,5.0,2021,6
샹치와 텐 링즈의 전설,월트디즈니컴퍼니코리아 유한책임회사,2021-09-01,,,액션,12세이상관람가,7.4,4.6,6.6,2021,9
보이스,(주)씨제이이엔엠,2021-09-01,,,범죄,15세이상관람가,7.86,,4.75,2021,9
기적,롯데컬처웍스(주)롯데엔터테인먼트,2021-09-01,,,드라마,12세이상관람가,8.55,4.9,6.0,2021,9
모가디슈,롯데컬처웍스(주)롯데엔터테인먼트,2021-07-01,,,액션,15세이상관람가,8.66,4.6,7.5,2021,7
인질,(주)넥스트엔터테인먼트월드(NEW),2021-08-01,,,액션,15세이상관람가,7.02,,5.8,2021,8
007 노 타임 투 다이,유니버설픽쳐스인터내셔널 코리아(유),2021-09-01,,,액션,12세이상관람가,7.08,3.5,6.25,2021,9
싱크홀,(주)쇼박스,2021-08-01,,,코미디,12세이상관람가,6.87,4.7,5.0,2021,8
"극장판 포켓몬스터: 정글의 아이, 코코",(주)넥스트엔터테인먼트월드(NEW),2021-09-01,699.0,,애니메이션,전체관람가,9.15,4.8,,2021,9
극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,(주)씨제이이엔엠,2021-09-01,593.0,,애니메이션,전체관람가,8.84,4.7,6.5,2021,9
맨 인 더 다크 2,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-09-01,248.0,,공포(호러),청소년관람불가,8.51,4.2,5.33,2021,9
코다,판씨네마(주),2021-08-01,308.0,,드라마,12세이상관람가,,4.8,6.33,2021,8
캔디맨,유니버설픽쳐스인터내셔널 코리아(유),2021-09-01,608.0,,미스터리,15세이상관람가,7.15,2.7,6.1,2021,9
말리그넌트,워너브러더스 코리아(주),2021-09-01,489.0,,스릴러,청소년관람불가,7.82,3.2,6.67,2021,9
건파우더 밀크셰이크,(주)씨제이이엔엠,2021-09-01,542.0,,액션,청소년관람불가,6.55,3.7,4.67,2021,9
잔나비 판타스틱 올드패션드 리턴즈! x 넌센스 Ⅱ,CGV ICECON,2021-09-01,66.0,,공연,전체관람가,,,,2021,9
리스펙트,유니버설픽쳐스인터내셔널 코리아(유),2021-09-01,119.0,,드라마,12세이상관람가,7.36,4.3,5.0,2021,9
여름날 우리,"찬란,메가박스중앙(주)",2021-08-01,262.0,,코미디,12세이상관람가,7.96,4.6,6.0,2021,8
뱅드림! 로젤리아 에피소드 Ⅱ : 송 아이 엠,(주)애니플러스,2021-09-01,86.0,,애니메이션,전체관람가,9.21,,,2021,9
귀문,"씨제이 씨지브이(CJ CGV)(주),(주)씨네필운",2021-08-01,692.0,,미스터리,15세이상관람가,6.15,,4.67,2021,8
좋은 사람,"(주)싸이더스,찬란",2021-09-01,140.0,,미스터리,12세관람가,,,6.67,2021,9
최선의 삶,(주)엣나인필름,2021-09-01,101.0,,드라마,15세이상관람가,,,6.71,2021,9
퍼피 구조대 더 무비,롯데컬처웍스(주)롯데엔터테인먼트,2021-08-01,355.0,,애니메이션,전체관람가,9.46,4.5,5.0,2021,8
프리 가이,월트디즈니컴퍼니코리아 유한책임회사,2021-08-01,750.0,,액션,12세이상관람가,8.47,4.6,6.75,2021,8
